Series ID,Year,Period,Label,Value
LNU04000036,2013,M10,2013 Oct,11.8
LNU04000036,2013,M11,2013 Nov,10.7
LNU04000036,2013,M12,2013 Dec,10.2
LNU04000036,2014,M01,2014 Jan,12.9
LNU04000036,2014,M02,2014 Feb,12.7
LNU04000036,2014,M03,2014 Mar,12.4
LNU04000036,2014,M04,2014 Apr,10.0
LNU04000036,2014,M05,2014 May,11.3
LNU04000036,2014,M06,2014 Jun,11.3
LNU04000036,2014,M07,2014 Jul,11.4
LNU04000036,2014,M08,2014 Aug,10.7
LNU04000036,2014,M09,2014 Sep,11.4
LNU04000036,2014,M10,2014 Oct,10.1
LNU04000036,2014,M11,2014 Nov,9.9
LNU04000036,2014,M12,2014 Dec,9.9
LNU04000036,2015,M01,2015 Jan,10.6
LNU04000036,2015,M02,2015 Feb,10.5
LNU04000036,2015,M03,2015 Mar,10.6
LNU04000036,2015,M04,2015 Apr,8.9
LNU04000036,2015,M05,2015 May,10.3
LNU04000036,2015,M06,2015 Jun,10.5
LNU04000036,2015,M07,2015 Jul,10.2
LNU04000036,2015,M08,2015 Aug,8.8
LNU04000036,2015,M09,2015 Sep,9.1
LNU04000036,2015,M10,2015 Oct,9.0
LNU04000036,2015,M11,2015 Nov,8.9
LNU04000036,2015,M12,2015 Dec,8.7
LNU04000036,2016,M01,2016 Jan,8.8
LNU04000036,2016,M02,2016 Feb,9.1
LNU04000036,2016,M03,2016 Mar,8.6
LNU04000036,2016,M04,2016 Apr,8.2
LNU04000036,2016,M05,2016 May,8.4
LNU04000036,2016,M06,2016 Jun,9.2
LNU04000036,2016,M07,2016 Jul,9.2
LNU04000036,2016,M08,2016 Aug,7.8
LNU04000036,2016,M09,2016 Sep,8.1
LNU04000036,2016,M10,2016 Oct,8.2
LNU04000036,2016,M11,2016 Nov,7.4
LNU04000036,2016,M12,2016 Dec,7.6
LNU04000036,2017,M01,2017 Jan,9.0
LNU04000036,2017,M02,2017 Feb,8.4
LNU04000036,2017,M03,2017 Mar,7.3
LNU04000036,2017,M04,2017 Apr,6.7
LNU04000036,2017,M05,2017 May,6.6
LNU04000036,2017,M06,2017 Jun,8.0
LNU04000036,2017,M07,2017 Jul,7.8
LNU04000036,2017,M08,2017 Aug,6.9
LNU04000036,2017,M09,2017 Sep,7.5
LNU04000036,2017,M10,2017 Oct,7.0
LNU04000036,2017,M11,2017 Nov,6.6
LNU04000036,2017,M12,2017 Dec,6.7
LNU04000086,2002,M01,2002 Jan,18.9
LNU04000086,2002,M02,2002 Feb,18.2
LNU04000086,2002,M03,2002 Mar,19.3
LNU04000086,2002,M04,2002 Apr,20.3
LNU04000086,2002,M05,2002 May,21.2
LNU04000086,2002,M06,2002 Jun,24.4
LNU04000086,2002,M07,2002 Jul,20.1
LNU04000086,2002,M08,2002 Aug,16.5
LNU04000086,2002,M09,2002 Sep,16.7
LNU04000086,2002,M10,2002 Oct,13.7
LNU04000086,2002,M11,2002 Nov,18.8
LNU04000086,2002,M12,2002 Dec,15.7
LNU04000086,2003,M01,2003 Jan,18.7
LNU04000086,2003,M02,2003 Feb,19.2
LNU04000086,2003,M03,2003 Mar,17.9
LNU04000086,2003,M04,2003 Apr,19.5
LNU04000086,2003,M05,2003 May,19.3
LNU04000086,2003,M06,2003 Jun,26.7
LNU04000086,2003,M07,2003 Jul,21.5
LNU04000086,2003,M08,2003 Aug,16.1
LNU04000086,2003,M09,2003 Sep,16.6
LNU04000086,2003,M10,2003 Oct,17.9
LNU04000086,2003,M11,2003 Nov,16.4
LNU04000086,2003,M12,2003 Dec,16.2
LNU04000086,2004,M01,2004 Jan,18.4
LNU04000086,2004,M02,2004 Feb,17.9
LNU04000086,2004,M03,2004 Mar,20.4
LNU04000086,2004,M04,2004 Apr,21.1
LNU04000086,2004,M05,2004 May,22.7
LNU04000086,2004,M06,2004 Jun,26.7
LNU04000086,2004,M07,2004 Jul,21.8
LNU04000086,2004,M08,2004 Aug,18.0
LNU04000086,2004,M09,2004 Sep,16.8
LNU04000086,2004,M10,2004 Oct,18.3
LNU04000086,2004,M11,2004 Nov,20.2
LNU04000086,2004,M12,2004 Dec,18.1
LNU04000086,2005,M01,2005 Jan,18.8
LNU04000086,2005,M02,2005 Feb,20.4
LNU04000086,2005,M03,2005 Mar,19.8
LNU04000086,2005,M04,2005 Apr,20.2
LNU04000086,2005,M05,2005 May,21.5
